"personefullname","total_orders","avg_orders","total_spending","last_orderdate"
"Mary Young","3","3038.38","9115.13","4399 days"
"Mary Young","3","3038.38","9115.13","4399 days"
"Mary Young","3","3038.38","9115.13","4399 days"
"Amber Young","3","2351.40","7054.19","4178 days"
"Amber Young","3","2351.40","7054.19","4178 days"
"Amber Young","3","2351.40","7054.19","4178 days"
"Courtney Young","3","2988.67","8966.01","4468 days"
"Courtney Young","3","2988.67","8966.01","4468 days"
"Courtney Young","3","2988.67","8966.01","4468 days"
"Jenna Young","3","2997.97","8993.92","4392 days"
"Jenna Young","3","2997.97","8993.92","4392 days"
"Jenna Young","3","2997.97","8993.92","4392 days"
"Chloe Harris","3","3018.86","9056.59","4401 days"
"Chloe Harris","3","3018.86","9056.59","4401 days"
"Chloe Harris","3","3018.86","9056.59","4401 days"
"Joe Madan","3","2991.36","8974.07","4400 days"
"Joe Madan","3","2991.36","8974.07","4400 days"
"Joe Madan","3","2991.36","8974.07","4400 days"
"Chloe Martin","3","2990.51","8971.53","4388 days"
"Chloe Martin","3","2990.51","8971.53","4388 days"
"Chloe Martin","3","2990.51","8971.53","4388 days"
"Marshall Xu","3","3024.39","9073.16","4444 days"
"Marshall Xu","3","3024.39","9073.16","4444 days"
"Marshall Xu","3","3024.39","9073.16","4444 days"
"Joe Srini","3","2985.82","8957.47","4461 days"
"Joe Srini","3","2985.82","8957.47","4461 days"
"Joe Srini","3","2985.82","8957.47","4461 days"
"Joe Prasad","3","2980.31","8940.92","4393 days"
"Joe Prasad","3","2980.31","8940.92","4393 days"
"Joe Prasad","3","2980.31","8940.92","4393 days"
"Joe Schmidt","3","2979.09","8937.28","4379 days"
"Joe Schmidt","3","2979.09","8937.28","4379 days"
"Joe Schmidt","3","2979.09","8937.28","4379 days"
"Joe Rana","3","2995.67","8987.01","4444 days"
"Joe Rana","3","2995.67","8987.01","4444 days"
"Joe Rana","3","2995.67","8987.01","4444 days"
"Chloe Thompson","2","44.90","89.79","4234 days"
